行 27: 控件 Adodc1 的类 MSAdodcLib.Adodc 不是一个已加载的控件类。
行 82: 控件 CommandButton1 的类 MSForms.CommandButton 不是一个已加载的控件类。
行 99: 控件 TextBox4 的类 MSForms.TextBox 不是一个已加载的控件类。
行 112: 控件 TextBox3 的类 MSForms.TextBox 不是一个已加载的控件类。
行 125: 控件 TextBox2 的类 MSForms.TextBox 不是一个已加载的控件类。
行 138: 控件 TextBox1 的类 MSForms.TextBox 不是一个已加载的控件类。
行 151: 控件 Label1 的类 MSForms.Label 不是一个已加载的控件类。
行 166: 控件 Label1 的类 MSForms.Label 不是一个已加载的控件类。
行 181: 控件 Label1 的类 MSForms.Label 不是一个已加载的控件类。
行 196: 控件 Label1 的类 MSForms.Label 不是一个已加载的控件类。
行 23:属性 Picture 在 密码修改 中的文件引用无效。
行 33: 属性名 _ExtentX 在 Adodc1 中是无效的。
行 34: 属性名 _ExtentY 在 Adodc1 中是无效的。
行 35: 属性名 ConnectMode 在 Adodc1 中是无效的。
行 36: 属性名 CursorLocation 在 Adodc1 中是无效的。
行 37: 属性名 IsolationLevel 在 Adodc1 中是无效的。
行 38: 属性名 ConnectionTimeout 在 Adodc1 中是无效的。
行 39: 属性名 CommandTimeout 在 Adodc1 中是无效的。
行 40: 属性名 CursorType 在 Adodc1 中是无效的。
行 41: 属性名 LockType 在 Adodc1 中是无效的。
行 42: 属性名 CommandType 在 Adodc1 中是无效的。
行 43: 属性名 CursorOptions 在 Adodc1 中是无效的。
行 44: 属性名 CacheSize 在 Adodc1 中是无效的。
行 45: 属性名 MaxRecords 在 Adodc1 中是无效的。
行 46: 属性名 BOFAction 在 Adodc1 中是无效的。
行 47: 属性名 EOFAction 在 Adodc1 中是无效的。
行 48: 属性名 ConnectStringType 在 Adodc1 中是无效的。
行 52: 属性名 Orientation 在 Adodc1 中是无效的。
行 54: 属性名 Connect 在 Adodc1 中是无效的。
行 55: 属性名 OLEDBString 在 Adodc1 中是无效的。
行 56: 属性名 OLEDBFile 在 Adodc1 中是无效的。
行 57: 属性名 DataSourceName 在 Adodc1 中是无效的。
行 58: 属性名 OtherAttributes 在 Adodc1 中是无效的。
行 59: 属性名 UserName 在 Adodc1 中是无效的。
行 60: 属性名 Password 在 Adodc1 中是无效的。
行 61: 属性名 RecordSource 在 Adodc1 中是无效的。
行 62: 属性名 Caption 在 Adodc1 中是无效的。
行 72: 属性名 _Version 在 Adodc1 中是无效的。
行 88: 属性名 VariousPropertyBits 在 CommandButton1 中是无效的。
行 89: 属性名 Caption 在 CommandButton1 中是无效的。
行 90: 属性名 Size 在 CommandButton1 中是无效的。
行 92: 属性名 FontEffects 在 CommandButton1 中是无效的。
行 93: 属性名 FontHeight 在 CommandButton1 中是无效的。
行 94: 属性名 FontCharSet 在 CommandButton1 中是无效的。
行 95: 属性名 FontPitchAndFamily 在 CommandButton1 中是无效的。
行 96: 属性名 ParagraphAlign 在 CommandButton1 中是无效的。
行 97: 属性名 FontWeight 在 CommandButton1 中是无效的。
行 105: 属性名 VariousPropertyBits 在 TextBox4 中是无效的。
行 106: 属性名 Size 在 TextBox4 中是无效的。
行 108: 属性名 FontHeight 在 TextBox4 中是无效的。
行 109: 属性名 FontCharSet 在 TextBox4 中是无效的。
行 110: 属性名 FontPitchAndFamily 在 TextBox4 中是无效的。
行 118: 属性名 VariousPropertyBits 在 TextBox3 中是无效的。
行 119: 属性名 Size 在 TextBox3 中是无效的。
行 121: 属性名 FontHeight 在 TextBox3 中是无效的。
行 122: 属性名 FontCharSet 在 TextBox3 中是无效的。
行 123: 属性名 FontPitchAndFamily 在 TextBox3 中是无效的。
行 131: 属性名 VariousPropertyBits 在 TextBox2 中是无效的。
行 132: 属性名 Size 在 TextBox2 中是无效的。
行 134: 属性名 FontHeight 在 TextBox2 中是无效的。
行 135: 属性名 FontCharSet 在 TextBox2 中是无效的。
行 136: 属性名 FontPitchAndFamily 在 TextBox2 中是无效的。
行 144: 属性名 VariousPropertyBits 在 TextBox1 中是无效的。
行 145: 属性名 Size 在 TextBox1 中是无效的。
行 147: 属性名 FontHeight 在 TextBox1 中是无效的。
行 148: 属性名 FontCharSet 在 TextBox1 中是无效的。
行 149: 属性名 FontPitchAndFamily 在 TextBox1 中是无效的。
行 158: 属性名 VariousPropertyBits 在 Label1 中是无效的。
行 159: 属性名 Caption 在 Label1 中是无效的。
行 160: 属性名 Size 在 Label1 中是无效的。
行 162: 属性名 FontHeight 在 Label1 中是无效的。
行 163: 属性名 FontCharSet 在 Label1 中是无效的。
行 164: 属性名 FontPitchAndFamily 在 Label1 中是无效的。
行 173: 属性名 VariousPropertyBits 在 Label1 中是无效的。
行 174: 属性名 Caption 在 Label1 中是无效的。
行 175: 属性名 Size 在 Label1 中是无效的。
行 177: 属性名 FontHeight 在 Label1 中是无效的。
行 178: 属性名 FontCharSet 在 Label1 中是无效的。
行 179: 属性名 FontPitchAndFamily 在 Label1 中是无效的。
行 188: 属性名 VariousPropertyBits 在 Label1 中是无效的。
行 189: 属性名 Caption 在 Label1 中是无效的。
行 190: 属性名 Size 在 Label1 中是无效的。
行 192: 属性名 FontHeight 在 Label1 中是无效的。
行 193: 属性名 FontCharSet 在 Label1 中是无效的。
行 194: 属性名 FontPitchAndFamily 在 Label1 中是无效的。
行 203: 属性名 VariousPropertyBits 在 Label1 中是无效的。
行 204: 属性名 Caption 在 Label1 中是无效的。
行 205: 属性名 Size 在 Label1 中是无效的。
行 207: 属性名 FontHeight 在 Label1 中是无效的。
行 208: 属性名 FontCharSet 在 Label1 中是无效的。
行 209: 属性名 FontPitchAndFamily 在 Label1 中是无效的。
